red,green,blue
0.0,0.0,0.0
0.6626,0.5527,0.549
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.608,0.569,0.5293
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.7217,0.533,0.4548
0.0,0.0,0.0
0.686,0.6313,0.596
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5566,0.408,0.3726
0.7217,0.698,0.604
0.0,0.0,0.0
0.651,0.4275,0.3137
0.7217,0.5527,0.5605
0.9253,0.886,0.9175
0.6157,0.506,0.4902
0.612,0.2864,0.2235
0.0,0.0,0.0
0.5605,0.392,0.3254
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8394,0.643,0.5137
0.0,0.0,0.0
0.0,0.0,0.0
0.6587,0.4353,0.392
0.7217,0.4941,0.447
0.0,0.0,0.0
0.5527,0.443,0.4275
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.569,0.5215,0.4587
0.0,0.0,0.0
0.4119,0.3843,0.353
0.6704,0.4119,0.3098
0.706,0.6353,0.596
0.0,0.0,0.0
0.447,0.357,0.302
0.0,0.0,0.0
0.702,0.549,0.4275
0.0,0.0,0.0
0.0,0.0,0.0
0.5176,0.3804,0.306
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5137,0.298,0.1765
0.0,0.0,0.0
0.706,0.5566,0.4863
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.749,0.6704,0.6353
0.0,0.0,0.0
0.0,0.0,0.0
0.6235,0.537,0.443
0.0,0.0,0.0
0.0,0.0,0.0
0.506,0.4158,0.4236
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.741,0.6313,0.537
0.4941,0.498,0.4785
0.565,0.4158,0.4119
0.4275,0.2471,0.2079
0.0,0.0,0.0
0.537,0.408,0.4119
0.0,0.0,0.0
